Time,GPS_X1,GPS_Y1,GPS_X2,GPS_Y2,GPS_MIDX,GPS_MIDY,GPS_MID_Theta,DR_X,DR_Y,DR_Theta,DR_X_r,DR_Y_r,DR_Theta_r,Kalman_X,Kalman_Y,Kalman_Theta,Painting
1742504653.965722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504654.0660887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504654.1665413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504654.2671611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504654.3675911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504654.467968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504654.568223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504654.6686592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504654.769122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504654.8695405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504654.9699774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504655.070376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504655.1707551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504655.2712283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504655.3716595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504655.4721477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504655.5725892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504655.6730306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504655.77345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504655.8738728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504655.9742455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504656.074609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504656.175002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504656.275404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504656.37587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504656.4762905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504656.5767162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504656.677193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504656.777604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504656.878022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504656.9784436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504657.0788717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504657.1792831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504657.2797055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504657.3801816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504657.4806075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504657.5810325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504657.6812737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504657.781434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504657.8816576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504657.9817758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504658.0818903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504658.1819878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504658.28209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504658.3822186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504658.4825625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742504658.5827057,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
1742504658.6828232,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1742504658.782904,6.3534461790546,-27.41132911526338,-6.3534461790546,27.41132911526338,0.0,0.0,1.7985562977840803,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,0.0,0.0,1.541619683814926,0
1742504658.882998,6.131168160663236,-27.368731863693373,-6.446061980566498,27.311935543400278,-0.1574469099516307,-0.028398160146547724,1.7968764673905304,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.09538277532339454,-0.017203864653095303,1.707536593139069,0
1742504658.9830961,6.186737625776573,-27.354532779836703,-6.409015644167937,27.255139207973595,-0.11113900919568209,-0.049696785931555354,1.797482533428497,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.10458976400213035,-0.03619075966713854,1.7635406691683355,0
1742504659.0831935,6.205260833460358,-27.326134627256945,-6.3349229713708155,27.41132911526338,-0.06483106895522894,0.04259724400321829,1.796006828980846,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.08150599979359693,0.009553289453239355,1.7836276457429823,0
1742504659.183409,6.260830298573694,-27.297736444410024,-6.168214497061797,27.26933829183027,0.046307900755948594,-0.014199076289877155,1.7947509905052283,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,0.00034154254969259723,-0.005656893105577333,1.791184335552628,0
1742504659.2836277,6.131168160663236,-27.510722702260068,-6.131168160663236,27.027953881400467,0.0,-0.2413844104298022,1.7919560350158847,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,0.00016739287218615906,-0.1258523743372877,1.7916019395225566,0
1742504659.3838737,6.168214497061797,-27.368731863693373,-6.2237840411441425,27.098949300683817,-0.0277847720411728,-0.13489128150477825,1.794499519679441,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.015683699895600603,-0.1309781510517357,1.7933592556564413,0
1742504659.483982,6.260830298573694,-27.59591717513292,-6.260830377542703,27.042152965257134,-3.948450455482089e-08,-0.27688210493789356,1.7960806922899273,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.006625783172034345,-0.2152432925619956,1.7950365869766485,0
1742504659.5840929,6.223783962175133,-27.496523603269818,-6.501631524648843,27.34033371111361,-0.1389237812368549,-0.07809494607810308,1.7988198900109673,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.08327883518919552,-0.1357799636312993,1.7973738614106496,0
1742504659.6842291,6.186737625776573,-27.510722702260068,-6.520154653363619,27.027953881400467,-0.16670851379352314,-0.2413844104298022,1.799701342850675,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.1316451420383626,-0.19700154765197642,1.798812240080097,0
1742504659.7843657,6.168214497061797,-27.581718106409834,-6.538677861047404,26.94275939339403,-0.1852316819928035,-0.3194793565079017,1.7997588935508917,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.162713731336956,-0.2680121548822911,1.7993972991177696,0
1742504659.8845887,6.223783962175133,-27.72370892984295,-6.538677861047404,27.16994471996716,-0.15744694943613524,-0.27688210493789356,1.79923240540877,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.1596600843702544,-0.27315489604608684,1.7992953893277082,0
1742504659.9848084,6.223783962175133,-27.539120854839826,-6.4645851882502825,26.900162141824023,-0.12040061303757454,-0.3194793565079017,1.7997820886574722,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.1368976191976079,-0.30001361018842326,1.7995961860012728,0
1742504660.0849571,6.131168160663236,-27.510722702260068,-6.3534461790546,27.01375481267738,-0.11113900919568209,-0.24848394479134583,1.795888766453555,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.1219628845674264,-0.27013692514098236,1.7973048747708322,0
1742504660.1851726,6.057075487866115,-27.510722702260068,-6.3534461790546,26.87176398924426,-0.1481853455942428,-0.31947935650790527,1.7951621388875882,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.13716655956585663,-0.29874546380437733,1.795980591171184,0
1742504660.2853851,6.205260833460358,-27.283537375686937,-6.501631524648843,27.212541956403587,-0.1481853455942428,-0.035497709641674646,1.7998740775349473,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.14355520647275413,-0.14611549657870632,1.7983868980773692,0
1742504660.3856108,6.186737625776573,-27.41132911526338,-6.483108316965058,27.12734746839715,-0.1481853455942428,-0.1419908234331153,1.7990569535611838,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.1462397421367111,-0.14372402801351458,1.7988010151406808,0
1742504660.4857454,6.242307169858918,-27.340333695980032,-6.483108316965058,27.212541956403587,-0.12040057355306999,-0.06389586978822237,1.7999658696235066,0.0,0.0,0.0,0.0,0.0,0.4555199419783677,-0.13125829820881815,-0.09743998940569587,1.7995209348030061,0
